"","Ano","UF","classe","Sexo","Valor_Proj","Valor_Aferido","Comparativo"
"83",2011,"AM","[30,35)","F",149379,148311,0.00714959934127306
"84",2011,"AM","[35,40)","F",122571,120589,0.0161702197093929
"85",2011,"AM","[40,45)","F",98794,97898,0.0090693766827945
"86",2011,"AM","[45,50)","F",80999,80001,0.0123211397671578
"87",2011,"AM","[50,55)","F",65651.0000000001,64581,0.0162983046716738
"88",2011,"AM","[55,60)","F",50818,50719,0.00194812861584507
"89",2011,"AM","[60,65)","F",37306,37005,0.00806840722672053
"90",2011,"AM","[65,70)","F",27359,27449,-0.00328959391790809
"91",2011,"AM","[70,75)","F",19850,19414,0.0219647355163719
"92",2011,"AM","[75,80)","F",13579,13581,-0.000147286250828753
"93",2011,"AM","[80,85)","F",8408,8391,0.00202188392007633
"94",2011,"AM","[85,90)","F",4613,4754,-0.0305657923260343
"95",2011,"AM","90+","F",3250,3177,0.022461538461539
"96",2011,"AM","[0,5)","M",204705,186934,0.0868127305146421
"97",2011,"AM","[05.10)","M",197607,194547,0.0154852813918527
"98",2011,"AM","[10,15)","M",207300,203678,0.0174722624216124
"99",2011,"AM","[15,20)","M",189136,189409,-0.00144340580323138
"100",2011,"AM","[20,25)","M",174220,167944,0.0360234186660518
"101",2011,"AM","[25,30)","M",165531,164038,0.00901945859083849
"102",2011,"AM","[30,35)","M",148644,147606,0.00698312747234946
"103",2011,"AM","[35,40)","M",122645,120256,0.0194789840596847
"104",2011,"AM","[40,45)","M",102645,102112,0.00519265429392567
"105",2011,"AM","[45,50)","M",84250,82881,0.0162492581602376
"106",2011,"AM","[50,55)","M",67236,66054,0.0175798679278953
"107",2011,"AM","[55,60)","M",51289,50895,0.00768195909454283
"108",2011,"AM","[60,65)","M",36616,36579,0.00101048721870241
"109",2011,"AM","[65,70)","M",26899,26835,0.00237927060485506
"110",2011,"AM","[70,75)","M",18535,18202,0.0179660102508744
"111",2011,"AM","[75,80)","M",12192,12123,0.00565944881889853
"112",2011,"AM","[80,85)","M",7044,7126,-0.0116411130039754
"113",2011,"AM","[85,90)","M",3391,3409,-0.00530816868180586
"114",2011,"AM","90+","M",1990,2001,-0.00552763819095454
